Results of Simulation 1

Time	Q	dQ
172.2	0.00731777	-0.000731777
172.4	0.00717287	-0.000717287
172.6	0.00703084	-0.000703084
172.8	0.00689162	-0.000689162
173	0.00675515	-0.000675515
173.2	0.00662139	-0.000662139
173.4	0.00649028	-0.000649028
173.6	0.00636176	-0.000636176
173.8	0.00623579	-0.000623579
174	0.00611231	-0.000611231
174.2	0.00599128	-0.000599128
174.4	0.00587265	-0.000587265
174.6	0.00575636	-0.000575636
174.8	0.00564238	-0.000564238
175	0.00553065	-0.000553065
175.2	0.00542114	-0.000542114
175.4	0.00531379	-0.000531379
175.6	0.00520857	-0.000520857
175.8	0.00510543	-0.000510543
176	0.00500434	-0.000500434
176.2	0.00490525	-0.000490525
176.4	0.00480812	-0.000480812
176.6	0.00471291	-0.000471291
176.8	0.00461959	-0.000461959
177	0.00452811	-0.000452811
177.2	0.00443845	-0.000443845
177.4	0.00435056	-0.000435056
177.6	0.00426442	-0.000426442
177.8	0.00417998	-0.000417998
178	0.00409721	-0.000409721
178.2	0.00401608	-0.000401608
178.4	0.00393655	-0.000393655
178.6	0.0038586	-0.00038586
178.8	0.0037822	-0.00037822
179	0.00370731	-0.000370731
179.2	0.0036339	-0.00036339
179.4	0.00356194	-0.000356194
179.6	0.00349141	-0.000349141
179.8	0.00342227	-0.000342227
180	0.00335451	-0.000335451
180.2	0.00328809	-0.000328809
180.4	0.00322298	-0.000322298
180.6	0.00315916	-0.000315916
180.8	0.0030966	-0.00030966
181	0.00303529	-0.000303529
181.2	0.00297518	-0.000297518
181.4	0.00291627	-0.000291627
181.6	0.00285852	-0.000285852
181.8	0.00280192	-0.000280192
182	0.00274644	-0.000274644
182.2	0.00269206	-0.000269206
182.4	0.00263875	-0.000263875
182.6	0.0025865	-0.00025865
182.8	0.00253528	-0.000253528
183	0.00248508	-0.000248508
183.2	0.00243587	-0.000243587
183.4	0.00238764	-0.000238764
183.6	0.00234036	-0.000234036
183.8	0.00229402	-0.000229402
184	0.00224859	-0.000224859
184.2	0.00220407	-0.000220407
