Results of Simulation 1

Time	Q	dQ
170.2	0.0089377	-0.00089377
170.4	0.00876072	-0.000876072
170.6	0.00858725	-0.000858725
170.8	0.00841721	-0.000841721
171	0.00825054	-0.000825054
171.2	0.00808717	-0.000808717
171.4	0.00792703	-0.000792703
171.6	0.00777006	-0.000777006
171.8	0.00761621	-0.000761621
172	0.0074654	-0.00074654
172.2	0.00731757	-0.000731757
172.4	0.00717267	-0.000717267
172.6	0.00703065	-0.000703065
172.8	0.00689143	-0.000689143
173	0.00675497	-0.000675497
173.2	0.00662121	-0.000662121
173.4	0.0064901	-0.00064901
173.6	0.00636159	-0.000636159
173.8	0.00623562	-0.000623562
174	0.00611215	-0.000611215
174.2	0.00599112	-0.000599112
174.4	0.00587249	-0.000587249
174.6	0.00575621	-0.000575621
174.8	0.00564223	-0.000564223
175	0.0055305	-0.00055305
175.2	0.00542099	-0.000542099
175.4	0.00531365	-0.000531365
175.6	0.00520843	-0.000520843
175.8	0.0051053	-0.00051053
176	0.0050042	-0.00050042
176.2	0.00490511	-0.000490511
176.4	0.00480799	-0.000480799
176.6	0.00471278	-0.000471278
176.8	0.00461946	-0.000461946
177	0.00452799	-0.000452799
177.2	0.00443833	-0.000443833
177.4	0.00435045	-0.000435045
177.6	0.0042643	-0.00042643
177.8	0.00417986	-0.000417986
178	0.0040971	-0.00040971
178.2	0.00401597	-0.000401597
178.4	0.00393645	-0.000393645
178.6	0.0038585	-0.00038585
178.8	0.0037821	-0.00037821
179	0.00370721	-0.000370721
179.2	0.0036338	-0.00036338
179.4	0.00356184	-0.000356184
179.6	0.00349132	-0.000349132
179.8	0.00342218	-0.000342218
180	0.00335442	-0.000335442
180.2	0.003288	-0.0003288
180.4	0.00322289	-0.000322289
180.6	0.00315907	-0.000315907
180.8	0.00309652	-0.000309652
181	0.0030352	-0.00030352
181.2	0.0029751	-0.00029751
181.4	0.00291619	-0.000291619
181.6	0.00285845	-0.000285845
181.8	0.00280185	-0.000280185
182	0.00274637	-0.000274637
182.2	0.00269198	-0.000269198
182.4	0.00263868	-0.000263868
182.6	0.00258643	-0.000258643
182.8	0.00253521	-0.000253521
183	0.00248501	-0.000248501
183.2	0.00243581	-0.000243581
183.4	0.00238758	-0.000238758
183.6	0.0023403	-0.00023403
183.8	0.00229396	-0.000229396
184	0.00224853	-0.000224853
184.2	0.00220401	-0.000220401
